VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,3051,36,1342.86,-98.1201,29.2174
X,3052,52,1161.94,-98.1101,29.2174
X,3053,44,1185.58,-98.1001,29.2174
X,3054,31,1204.8,-98.0901,29.2174
X,3056,52,1064.68,-98.0501,29.2174
X,3057,44,1041.14,-98.0401,29.2174
X,3058,44,1064.68,-98.0301,29.2174
X,3059,36,1104.08,-98.0201,29.2174
X,3060,31,1095.48,-98.0001,29.2174
X,3062,52,1022.12,-97.9801,29.2174
X,3063,52,1032.08,-97.9701,29.2174
X,3064,31,1094.4,-97.9601,29.2174
X,3066,31,1197.7,-97.9401,29.2174
X,3118,31,1136.8,-97.8801,29.2074
X,3120,44,1164.44,-97.8601,29.2074
X,3122,44,1057.88,-97.8401,29.2074
X,3123,36,1259.52,-97.8301,29.2074
X,3124,31,1217.44,-97.8201,29.2074
X,3125,52,1217.44,-97.8101,29.2074
X,3126,44,1248.22,-97.8001,29.2074
X,3127,44,1190.82,-97.7901,29.2074
X,3128,36,1187.76,-97.7701,29.2074
X,3129,31,1169.78,-97.7601,29.2074
X,3130,31,798,-97.7501,29.2074
X,3132,52,1162.94,-98.3201,29.1974
X,3133,44,1219.72,-98.3101,29.1974
X,3134,31,1073,-98.3001,29.1974
X,3136,36,1248.74,-98.2601,29.1974
X,3137,44,1322.08,-98.2401,29.1974
X,3190,36,1303.54,-98.1701,29.1874
X,3191,31,1303.54,-98.1601,29.1874
X,3192,44,1163.12,-98.1501,29.1874
X,3193,36,1217.96,-98.1401,29.1874
X,3194,31,1194.8,-98.1301,29.1874
X,3195,52,1147.34,-98.1101,29.1874
X,3196,44,724.58,-98.1001,29.1874
X,3197,36,724.58,-98.0901,29.1874
X,3198,36,1162.1,-98.0801,29.1874
X,3199,31,1197.2,-98.0701,29.1874
X,3200,31,1242.1,-98.0601,29.1874
X,3201,52,1162.1,-98.0501,29.1874
X,3202,44,1229,-98.0401,29.1874
X,3203,36,1162.1,-98.0301,29.1874
X,3204,52,1104.72,-98.0101,29.1874
X,3205,36,1104.72,-98.0001,29.1874
X,3206,52,1064.66,-97.9901,29.1874
X,3207,31,1136.58,-97.9801,29.1874
X,3208,36,1147.92,-97.9701,29.1874
X,3257,44,1147.32,-98.0401,29.1774
X,3259,44,1186.82,-98.0201,29.1774
X,3260,36,1092.06,-98.0101,29.1774
X,3262,36,1114.02,-97.9701,29.1774
X,3263,36,1087.06,-97.9601,29.1774
X,3264,52,1199.76,-97.9501,29.1774
X,3265,52,1194.54,-97.9401,29.1774
X,3266,36,1194.54,-97.9301,29.1774
X,3267,36,1168.06,-97.9201,29.1774
X,3268,36,1168.06,-97.9101,29.1774
X,3269,31,1175.62,-97.9001,29.1774
X,3271,52,1108.08,-97.8801,29.1774
X,3272,44,778.68,-97.8701,29.1774
X,3273,36,778.68,-97.8601,29.1774
X,3274,52,1131.96,-97.8501,29.1774
X,3275,31,1131.96,-97.8401,29.1774
X,3276,52,1131.96,-97.8301,29.1774
X,3277,31,1180.92,-97.8201,29.1774
X,3278,31,1180.92,-97.8101,29.1774
X,3328,44,1131.96,-97.8601,29.1674
X,3329,44,1152.54,-97.8501,29.1674
X,3330,31,1137.2,-97.8401,29.1674
X,3331,44,1131.96,-97.8301,29.1674
X,3332,36,1180.92,-97.8201,29.1674
X,3333,31,1131.96,-97.8101,29.1674
X,3334,52,1033.6,-98.3601,29.1574
X,3335,44,1009.18,-98.3501,29.1574
X,3336,36,1033.6,-98.3401,29.1574
X,3337,36,1135.68,-98.3301,29.1574
X,3338,31,1088.66,-98.3201,29.1574
X,3339,31,1073,-98.3101,29.1574
X,3341,52,1173.54,-98.2901,29.1574
X,3342,44,1171.34,-98.2701,29.1574
X,3343,36,1171.34,-98.2601,29.1574
X,3344,52,1171.34,-98.2501,29.1574
X,3345,36,1173.54,-98.2401,29.1574
X,3346,52,1125.42,-98.2301,29.1574
X,3398,36,1125.4,-98.2301,29.1474
X,3399,36,1073.02,-98.2201,29.1474
X,3400,31,1073.02,-98.2101,29.1474
X,3401,36,1112.6,-98.2001,29.1474
X,3402,36,1095.52,-98.1901,29.1474
X,3403,52,1178.78,-98.1401,29.1474
X,3404,52,1193.96,-98.1301,29.1474
X,3405,36,1194.78,-98.1201,29.1474
X,3406,31,1150,-98.1101,29.1474
X,3407,31,1198.9,-98.1001,29.1474
X,3408,31,1238.06,-98.0901,29.1474
X,3410,52,1238.06,-98.0701,29.1474
X,3411,36,1238.06,-98.0601,29.1474
X,3412,31,1178.78,-98.0501,29.1474
X,3414,44,1140.48,-98.0301,29.1474
X,3416,36,1242.08,-98.0101,29.1474
X,3424,31,1180.76,-97.9301,29.1474
X,3425,36,1090.3,-97.9201,29.1474
X,3426,52,1090.3,-97.9101,29.1474
X,3427,36,1090.3,-97.9001,29.1474
X,3429,44,1175.56,-97.8801,29.1474
X,3430,31,1194.54,-97.8701,29.1474
X,3432,44,1162.36,-97.8501,29.1474
X,3433,36,1162.36,-97.8401,29.1474
X,3435,52,1187.82,-98.3801,29.1374
X,3475,44,1194.52,-97.9101,29.1374
X,3476,36,1194.52,-97.9001,29.1374
X,3477,31,1232,-97.8901,29.1374
X,3480,52,1180.74,-97.8601,29.1374
X,3481,44,1232,-97.8501,29.1374
X,3482,31,1215.28,-98.3901,29.1274
X,3484,36,1033.6,-98.3601,29.1274
X,3486,36,1092.34,-98.3401,29.1274
X,3487,36,1139.62,-98.3301,29.1274
X,3494,52,1122.08,-98.2201,29.1274
X,3496,44,1116.14,-98.2001,29.1274
X,3499,36,1106.04,-98.1601,29.1274
X,3501,52,1125.4,-98.1301,29.1274
X,3502,36,1123.26,-98.1201,29.1274
X,3503,31,1123.26,-98.1101,29.1274
X,3506,36,1235.04,-98.0801,29.1274
X,3544,44,1067.5,-98.2301,29.1174
X,3545,36,1106.02,-98.2201,29.1174
X,3546,31,1173.54,-98.2101,29.1174
X,3547,36,1156.58,-98.2001,29.1174
X,3550,44,1098.92,-98.1601,29.1174
X,3551,36,1116.28,-98.1501,29.1174
X,3552,31,1125.4,-98.1401,29.1174
X,3553,52,1125.4,-98.1301,29.1174
