VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,2712,36,1361.9,29.3074,-97.9501
X,2713,31,1250.32,29.3074,-97.9401
X,2714,3,1198.96,29.3074,-97.9301
X,2715,36,1215.44,29.3074,-97.9201
X,2716,36,1269.08,29.3074,-97.9001
X,2717,36,1215.44,29.3074,-97.8801
X,2767,36,1184.48,29.2874,-98.0001
X,2768,45,1288.6,29.2874,-97.9901
X,2769,45,1325.66,29.2874,-97.9801
X,2770,36,1191.02,29.2874,-97.9601
X,2771,52,1361.9,29.2874,-97.9401
X,2772,36,1250.28,29.2874,-97.9301
X,2774,52,1250.28,29.2874,-97.9101
X,2775,36,1250.28,29.2874,-97.9001
X,2776,31,1250.28,29.2874,-97.8901
X,2777,11,1269.1,29.2874,-97.8801
X,2778,3,1192.84,29.2874,-97.8701
X,2779,3,1344.96,29.2874,-97.8601
X,2780,45,1344.96,29.2874,-97.8501
X,2781,36,1344.96,29.2874,-97.8401
X,2782,36,1344.96,29.2874,-97.8301
X,2784,11,1208.06,29.2874,-97.8101
X,2785,36,1276.96,29.2874,-97.8001
X,2787,45,1353.96,29.2774,-98.2001
X,2837,45,1107.7,29.2674,-98.0701
X,2838,36,1179.42,29.2674,-98.0601
X,2839,36,1034.86,29.2674,-98.0401
X,2840,36,1159.38,29.2674,-98.0301
X,2841,52,1279.34,29.2674,-98.0201
X,2842,36,1279.34,29.2674,-98.0101
X,2844,3,1294.22,29.2674,-97.9801
X,2845,36,1203.54,29.2674,-97.9701
X,2846,31,1320.16,29.2674,-97.9601
X,2847,3,1198.92,29.2674,-97.9501
X,2848,52,1250.26,29.2674,-97.9301
X,2849,45,1199.7,29.2674,-97.9201
X,2850,36,1250.26,29.2674,-97.9101
X,2851,36,751.04,29.2674,-97.9001
X,2854,52,1250.26,29.2674,-97.8701
X,2855,31,1299.78,29.2674,-97.8601
X,2908,31,1353.88,29.2474,-98.1801
X,2909,52,1353.88,29.2474,-98.1601
X,2910,31,1353.88,29.2474,-98.1501
X,2911,45,1353.88,29.2474,-98.1401
X,2912,31,1353.88,29.2474,-98.1201
X,2913,52,1210.16,29.2474,-98.1101
X,2914,36,1210.16,29.2474,-98.1001
X,2915,36,1064.68,29.2474,-98.0901
X,2916,11,1064.68,29.2474,-98.0801
X,2917,52,1064.68,29.2474,-98.0701
X,2918,45,1033.62,29.2474,-98.0601
X,2919,36,1187.86,29.2474,-98.0501
X,2935,45,1217.5,29.2474,-97.8401
X,2936,52,1131.68,29.2474,-97.8301
