index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
272,413,-98.6998,29.0777,-98.6998.29.0777,413,11.098,52,ATASCOSA,65.5419
273,414,-98.6898,29.0777,-98.6898.29.0777,414,11.1376,52,ATASCOSA,64.563
274,415,-98.6798,29.0777,-98.6798.29.0777,415,11.1238,71,ATASCOSA,64.5345
275,416,-98.6698,29.0777,-98.6698.29.0777,416,10.6876,82,ATASCOSA,64.9712
276,418,-98.6498,29.0777,-98.6498.29.0777,418,11.1376,81,ATASCOSA,63.2919
277,419,-98.6398,29.0777,-98.6398.29.0777,419,11.1376,90,ATASCOSA,62.5526
278,420,-98.6298,29.0777,-98.6298.29.0777,420,10.463,90,ATASCOSA,61.7904
279,421,-98.6198,29.0777,-98.6198.29.0777,421,11.2916,82,ATASCOSA,58.3824
280,422,-98.6098,29.0777,-98.6098.29.0777,422,11.2916,82,ATASCOSA,57.1566
281,423,-98.5998,29.0777,-98.5998.29.0777,423,11.2916,90,ATASCOSA,55.1278
282,424,-98.5898,29.0777,-98.5898.29.0777,424,11.2916,81,ATASCOSA,54.5427
283,425,-98.5798,29.0777,-98.5798.29.0777,425,11.2916,52,ATASCOSA,55.2654
284,426,-98.5698,29.0777,-98.5698.29.0777,426,11.2916,82,ATASCOSA,52.8295
285,427,-98.5598,29.0777,-98.5598.29.0777,427,11.2916,81,ATASCOSA,51.6856
286,428,-98.5498,29.0777,-98.5498.29.0777,428,10.8602,52,ATASCOSA,50.8866
287,429,-98.5398,29.0777,-98.5398.29.0777,429,11.4354,81,ATASCOSA,48.1945
288,430,-98.5298,29.0777,-98.5298.29.0777,430,11.3166,52,ATASCOSA,47.32
