var, orig, dest, value,
5,4580,1,1076.70,
5,4581,1,1063.00,
5,4582,1,1180.50,
5,4583,1,1050.80,
5,4584,1,1024.90,
5,4585,1,1063.00,
5,4586,1,1109.80,
5,4587,1,1060.10,
5,4589,1,1067.20,
5,4590,1,1067.20,
5,4591,1,1180.50,
5,4592,1,1180.50,
5,4593,1,1180.50,
5,4594,1,1180.50,
5,4637,1,1024.90,
5,4638,1,1180.50,
5,4639,1,1180.50,
5,4640,1,1180.50,
5,4642,1,1144.40,
5,4643,1,1144.40,
5,4644,1,1144.40,
5,4645,1,1031.70,
5,4653,1,1180.50,
5,4654,1,1180.50,
5,4655,1,1180.50,
5,4698,1,1180.50,
5,4699,1,1133.70,
5,4700,1,1050.80,
5,4701,1,1050.80,
5,4702,1,1122.10,
5,4703,1,1039.90,
5,4704,1,999.80,
5,4706,1,1060.10,
5,4707,1,1073.10,
5,4708,1,1060.10,
5,4709,1,1050.80,
5,4710,1,1144.40,
5,4711,1,1067.20,
5,4712,1,1109.80,
5,4713,1,1050.80,
5,4714,1,1180.50,
5,4716,1,1180.50,
elapsed time,1719.25370,
