VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,3790,11,,1205.22
X,3791,3,,1205.22
X,3792,3,,1062.14
X,3793,45,,1110.54
X,3832,31,,1153.12
X,3833,45,,1024.4
X,3833,52,,0
X,3834,31,,1196.32
X,3835,3,,1024.4
X,3836,11,,1077.54
X,3836,44,,0
X,3837,36,,1085.1
X,3838,3,,1007.62
X,3839,11,,1099.42
X,3840,3,,1072.52
X,3851,45,,1096.94
X,3852,36,,1108.76
X,3854,52,,1108.76
X,3855,36,,1157.16
X,3856,31,,1108.76
X,3860,3,,1094.66
X,3861,44,,0
X,3861,45,,1125.02
X,3861,52,,0
X,3863,36,,1041.66
X,3864,36,,1300.86
X,3896,36,,1224.48
X,3897,31,,1126.16
X,3898,36,,1236.02
X,3900,36,,1177.1
X,3901,31,,0
X,3901,44,,0
X,3901,45,,1120.02
X,3902,36,,1087.9
X,3903,36,,0
X,3903,44,,0
X,3903,45,,1107.34
X,3904,31,,1120.02
X,3905,36,,1085.06
X,3906,36,,1085.06
X,3907,36,,990.14
X,3908,43,,0
X,3908,44,,0
X,3908,45,,1098.74
X,3909,36,,1088.44
X,3910,3,,1091.18
X,3970,44,,0
X,3971,31,,1099.36
X,3972,52,,1052.6
X,3973,36,,1085.08
X,3974,52,,1066.92
X,3975,31,,1052.6
X,3976,31,,1052.6
X,3977,31,,1111.94
X,3978,36,,1040.46
X,3979,36,,1066.92
X,3980,3,,1068.34
X,4036,31,,1083.8
X,4039,44,,0
X,4039,45,,1082.78
X,4039,52,,0
X,4040,36,,1080.5
X,4041,31,,1129
X,4042,52,,1129
X,4043,31,,1086.92
X,4044,52,,1113.34
X,4045,36,,1193.42
X,4046,31,,1031.8
X,4047,52,,1083.82
X,4048,36,,1064.28
X,4049,36,,1048.48
X,4062,3,,0
X,4062,44,,0
X,4062,45,,1235.6
X,4063,36,,1080.46
X,4065,52,,1149.22
X,4066,44,,0
X,4066,45,,1015.44
X,4067,36,,1067.26
X,4067,43,,0
X,4067,44,,0
X,4068,36,,1083.8
X,4069,31,,1064.26
X,4072,11,,878.74
X,4073,3,,1006.84
X,4074,11,,1065.74
X,4075,11,,1044.98
X,4117,44,,0
X,4117,45,,1044.92
X,4118,31,,1061.52
X,4119,44,,0
X,4119,45,,1061.46
Y,,3,1,117724.84
Y,,10,1,0
Y,,11,1,68345
Y,,31,1,210050.94
Y,,36,1,285695.62
Y,,43,1,0
Y,,44,1,0
Y,,45,1,170291.36
Y,,46,1,0
Y,,50,1,0
Y,,52,1,111323.78
Y,,53,1,0
Y,,56,1,0
Y,,57,1,0
Y,,58,1,0
Z,130,,1,1104.62
Z,131,,1,1095.86
Z,132,,1,1104.62
Z,156,,1,1069.56
Z,157,,1,1069.56
Z,158,,1,1066.4
Z,188,,1,1069.54
Z,2592,,1,1119.26
Z,2593,,1,1217.1
