VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,2937,36,1348.92,-97.8201,29.2474
X,2938,52,1348.92,-97.8101,29.2474
X,2939,36,1415.04,-97.8001,29.2474
X,2941,44,1439.6,-97.7801,29.2474
X,2984,44,1348.9,-97.8301,29.2374
X,2985,31,1348.9,-97.8201,29.2374
X,2987,52,1348.9,-97.8001,29.2374
X,2988,52,1321.34,-97.7901,29.2374
X,2989,44,1439.6,-97.7801,29.2374
X,2990,31,1439.6,-97.7701,29.2374
X,2991,31,1460.8,-97.7601,29.2374
X,2993,52,1282.02,-98.3101,29.2274
X,2994,36,1279.94,-98.3001,29.2274
X,3006,44,1306.72,-98.1001,29.2274
X,3051,36,1433.32,-98.1201,29.2174
X,3052,52,1291.34,-98.1101,29.2174
X,3053,44,1270.04,-98.1001,29.2174
X,3054,31,1294.5,-98.0901,29.2174
X,3056,52,1212.96,-98.0501,29.2174
X,3057,44,1191.38,-98.0401,29.2174
X,3058,44,1212.96,-98.0301,29.2174
X,3059,36,1263.02,-98.0201,29.2174
X,3060,31,1242.36,-98.0001,29.2174
X,3062,52,1202.08,-97.9801,29.2174
X,3063,52,1205.58,-97.9701,29.2174
X,3064,31,1269.22,-97.9601,29.2174
X,3066,31,1332.26,-97.9401,29.2174
X,3120,44,1302.6,-97.8601,29.2074
X,3122,44,1225.24,-97.8401,29.2074
X,3123,36,1376.38,-97.8301,29.2074
X,3124,31,1348.9,-97.8201,29.2074
X,3125,52,1348.9,-97.8101,29.2074
X,3126,44,1376.58,-97.8001,29.2074
X,3127,44,1321.24,-97.7901,29.2074
X,3128,36,1302.74,-97.7701,29.2074
X,3129,31,1289.72,-97.7601,29.2074
X,3130,31,940.16,-97.7501,29.2074
X,3132,52,1301.8,-98.3201,29.1974
X,3133,44,1369.28,-98.3101,29.1974
X,3134,31,1234.56,-98.3001,29.1974
X,3136,36,1364.88,-98.2601,29.1974
X,3137,44,1407.12,-98.2401,29.1974
X,3190,36,1421.28,-98.1701,29.1874
X,3192,44,1266.9,-98.1501,29.1874
X,3193,36,1303.96,-98.1401,29.1874
X,3194,31,1347.2,-98.1301,29.1874
X,3195,52,1260,-98.1101,29.1874
X,3196,44,819.02,-98.1001,29.1874
X,3197,36,819.02,-98.0901,29.1874
X,3198,36,1291.32,-98.0801,29.1874
X,3199,31,1282.64,-98.0701,29.1874
X,3200,31,1297.42,-98.0601,29.1874
X,3201,52,1291.32,-98.0501,29.1874
X,3202,44,1368.34,-98.0401,29.1874
X,3203,36,1291.32,-98.0301,29.1874
X,3204,52,1231.24,-98.0101,29.1874
X,3205,36,1231.24,-98.0001,29.1874
X,3206,52,1212.96,-97.9901,29.1874
X,3207,31,1257.14,-97.9801,29.1874
X,3259,44,1266.74,-98.0201,29.1774
X,3260,36,1229.54,-98.0101,29.1774
X,3262,36,1244.36,-97.9701,29.1774
X,3263,36,1222.84,-97.9601,29.1774
X,3264,52,1304.64,-97.9501,29.1774
X,3265,52,1314.94,-97.9401,29.1774
X,3266,36,1314.94,-97.9301,29.1774
X,3267,36,1290.64,-97.9201,29.1774
X,3268,36,1290.64,-97.9101,29.1774
X,3269,31,1287.68,-97.9001,29.1774
X,3271,52,1278.16,-97.8801,29.1774
X,3272,44,931.4,-97.8701,29.1774
X,3273,36,931.4,-97.8601,29.1774
X,3274,52,1269.18,-97.8501,29.1774
X,3275,31,1269.18,-97.8401,29.1774
X,3276,52,1269.18,-97.8301,29.1774
X,3277,31,1325.58,-97.8201,29.1774
X,3278,31,1325.58,-97.8101,29.1774
X,3328,44,1269.18,-97.8601,29.1674
X,3329,44,1282.6,-97.8501,29.1674
X,3330,31,1269.92,-97.8401,29.1674
X,3331,44,1269.18,-97.8301,29.1674
X,3332,36,1325.58,-97.8201,29.1674
X,3333,31,1269.18,-97.8101,29.1674
X,3334,52,1207.92,-98.3601,29.1574
X,3335,44,1183,-98.3501,29.1574
X,3336,36,1207.92,-98.3401,29.1574
X,3337,36,1273.36,-98.3301,29.1574
X,3338,31,1237.48,-98.3201,29.1574
X,3339,31,1234.56,-98.3101,29.1574
X,3341,52,1329.96,-98.2901,29.1574
X,3342,44,1300.38,-98.2701,29.1574
X,3343,36,1300.38,-98.2601,29.1574
X,3344,52,1300.38,-98.2501,29.1574
X,3345,36,1329.96,-98.2401,29.1574
X,3346,52,1259.34,-98.2301,29.1574
X,3398,36,1259.32,-98.2301,29.1474
X,3399,36,1234.56,-98.2201,29.1474
X,3400,31,1234.56,-98.2101,29.1474
X,3401,36,1272.18,-98.2001,29.1474
X,3402,36,1259.54,-98.1901,29.1474
X,3404,52,1280.96,-98.1301,29.1474
X,3405,36,1347.18,-98.1201,29.1474
X,3406,31,1298.36,-98.1101,29.1474
X,3407,31,1295.48,-98.1001,29.1474
X,3408,31,1361.74,-98.0901,29.1474
X,3410,52,1361.74,-98.0701,29.1474
X,3411,36,1361.74,-98.0601,29.1474
X,3412,31,1279.88,-98.0501,29.1474
X,3414,44,1284.64,-98.0301,29.1474
X,3424,31,1298.22,-97.9301,29.1474
X,3425,36,1235.9,-97.9201,29.1474
X,3426,52,1235.9,-97.9101,29.1474
X,3427,36,1235.9,-97.9001,29.1474
X,3429,44,1287.68,-97.8801,29.1474
X,3430,31,1314.92,-97.8701,29.1474
X,3432,44,1277.36,-97.8501,29.1474
X,3433,36,1277.36,-97.8401,29.1474
X,3476,36,1314.92,-97.9001,29.1374
X,3477,31,1384.2,-97.8901,29.1374
X,3480,52,1298.22,-97.8601,29.1374
X,3481,44,1384.2,-97.8501,29.1374
X,3482,31,1366.34,-98.3901,29.1274
X,3484,36,1207.9,-98.3601,29.1274
X,3486,36,1228,-98.3401,29.1274
X,3487,36,1261,-98.3301,29.1274
X,3494,52,1251.1,-98.2201,29.1274
X,3496,44,1274.56,-98.2001,29.1274
X,3499,36,1246.08,-98.1601,29.1274
X,3501,52,1259.3,-98.1301,29.1274
X,3502,36,1254.82,-98.1201,29.1274
X,3503,31,1254.82,-98.1101,29.1274
X,3506,36,1368.88,-98.0801,29.1274
X,3544,44,1221.56,-98.2301,29.1174
X,3545,36,1246.08,-98.2201,29.1174
X,3546,31,1329.94,-98.2101,29.1174
X,3550,44,1253.82,-98.1601,29.1174
X,3551,36,1259.26,-98.1501,29.1174
X,3552,31,1259.3,-98.1401,29.1174
X,3553,52,1259.3,-98.1301,29.1174
X,3554,31,1254.82,-98.1201,29.1174
X,3555,52,1259.3,-98.1101,29.1174
X,3556,31,1259.3,-98.1001,29.1174
X,3557,31,1333,-98.0901,29.1174
