VARIABLE, PARCEL, DEPOT, PLANT, VALUE
Z,2786,,1,1363.7
Z,2788,,1,1442.62
Z,2789,,1,1442.62
Z,2790,,1,1442.62
Z,2822,,1,1423.74
Z,2823,,1,1423.74
Z,2824,,1,1423.74
Z,2825,,1,1423.74
Z,2826,,1,1442.62
Z,2827,,1,1442.62
Z,2828,,1,1442.62
Z,2829,,1,1442.62
Z,2830,,1,1442.62
Z,2864,,1,1363.68
Z,2865,,1,1363.68
Z,2866,,1,1423.74
Z,2867,,1,1423.74
Z,2868,,1,1442.6
Z,2869,,1,1442.6
Z,2870,,1,1442.6
Z,2904,,1,1290.16
Z,2905,,1,1290.16
Z,2906,,1,1423.76
Z,2907,,1,1442.62
Z,2944,,1,1266.92
Z,2945,,1,1399.56
Z,2946,,1,1369.02
Z,2947,,1,1347.18
Z,2948,,1,1347.18
Z,2949,,1,1421.32
Z,2950,,1,1421.32
Z,2951,,1,1433.36
Z,2952,,1,1433.36
Z,2953,,1,1433.36
Z,2954,,1,1433.36
Z,2955,,1,1433.36
Z,2956,,1,1433.36
Z,2993,,1,1282.02
Z,2995,,1,1336.64
Z,2996,,1,1335.72
Z,2997,,1,1347.18
Z,2998,,1,1310.68
Z,2999,,1,1421.3
Z,3000,,1,1433.34
Z,3001,,1,1433.34
Z,3002,,1,1433.34
Z,3038,,1,1320.3
Z,3039,,1,1284.76
Z,3040,,1,1320.3
Z,3041,,1,1310.68
Z,3042,,1,1421.32
Z,3043,,1,1421.32
Z,3044,,1,1421.32
Z,3045,,1,1421.32
Z,3046,,1,1421.32
Z,3047,,1,1433.32
Z,3048,,1,1433.32
Z,3087,,1,1364.88
Z,3088,,1,1252.48
Z,3089,,1,1252.48
Z,3090,,1,1336.64
Z,3091,,1,1421.3
Z,3092,,1,1421.3
Z,3093,,1,1421.3
Z,3135,,1,1386.08
Z,3137,,1,1407.12
Z,3138,,1,1320.26
Z,3139,,1,1320.26
Z,3140,,1,1421.3
Z,3141,,1,1421.3
Z,3142,,1,1421.3
Z,3178,,1,1309.9
Z,3179,,1,1369.28
Z,3180,,1,1369.28
Z,3181,,1,1300.4
Z,3182,,1,1300.4
Z,3183,,1,1300.4
Z,3184,,1,1232.9
Z,3185,,1,1295.12
Z,3186,,1,1295.12
Z,3187,,1,1407.12
Z,3188,,1,1407.12
Z,3189,,1,1421.28
Z,3228,,1,1369.24
Z,3229,,1,1329.98
Z,3230,,1,1234.56
Z,3232,,1,1270.28
Z,3233,,1,1251.18
Z,3234,,1,1278
Z,3236,,1,1246.16
Z,3237,,1,1284.58
Z,3238,,1,1246.16
Z,3239,,1,1284.72
Z,3240,,1,1329.24
Z,3241,,1,1320.26
Z,3242,,1,1284.72
Z,3243,,1,1421.28
Z,3244,,1,1421.28
Z,3281,,1,1346.72
Z,3282,,1,1229.64
Z,3283,,1,1251.1
Z,3284,,1,1259.34
Z,3285,,1,1259.34
Z,3286,,1,1234.56
Z,3287,,1,1234.56
Z,3288,,1,1232.92
Z,3289,,1,1300.4
Z,3290,,1,1300.4
Z,3291,,1,1300.4
Z,3292,,1,1300.4
Z,3293,,1,1300.4
Z,3294,,1,1309.9
Z,3295,,1,1407.1
Z,3296,,1,1320.26
Z,3297,,1,1284.68
Z,3347,,1,1259.54
Z,3348,,1,1259.54
Z,3349,,1,1216.7
Z,3350,,1,1284.64
Z,3392,,1,1232.96
elapsed time,24.71517,,,
