VARIABLE	 PARCEL	coord_ID	 DEPOT	 VALUE	LAT 	LON
X	2560	2916	58	1136.32	29.3974	-98.1301
X	2561	2917	36	1002.28	29.3874	-98.1701
X	2563	2919	36	1002.28	29.3874	-98.1501
X	2564	2921	31	1101.24	29.3874	-98.1301
X	2565	2922	58	1017.28	29.3774	-98.1801
X	2566	2924	52	1034.08	29.3774	-98.1601
X	2567	2925	36	1002.28	29.3774	-98.1501
X	2568	2926	36	969.54	29.3774	-98.1401
X	2569	2927	31	1034.66	29.3774	-98.0901
X	2570	2928	31	1008.5	29.3774	-98.0801
X	2571	2929	7	994.68	29.3774	-98.0701
X	2572	2930	7	1002.28	29.3774	-98.0601
X	2574	2932	36	1024.74	29.3774	-98.0401
X	2576	2935	36	1288.24	29.3774	-98.0101
X	2627	3047	31	1101.08	29.3474	-97.8601
X	2629	3050	44	1045.88	29.3374	-98.2001
X	2630	3051	52	1017.28	29.3374	-98.1901
X	2631	3052	31	1008.5	29.3374	-98.1801
X	2632	3053	52	1008.5	29.3374	-98.1701
